2022/4/7,11:37:13,采样间隔:,0.5 s,,,,,
R(V),温度(K),磁场(KGs),X(V),Y(V),θ(°),Freq(Hz),Noise(V),Rpt1000(Ω)
7.26E-06,99.63,-0.064787,1.36E-06,7.13E-06,79.236,1111,8.62E-08,317.486073
7.40E-06,99.62,-0.063919,1.41E-06,7.27E-06,79.039,1111,8.64E-08,317.473583
7.49E-06,99.62,-0.061778,1.37E-06,7.36E-06,79.437,1111,8.61E-08,317.464662
7.35E-06,99.61,-0.065751,1.47E-06,7.20E-06,78.416,1111,8.21E-08,317.453659
7.31E-06,99.6,-0.073201,1.44E-06,7.17E-06,78.647,1111,7.69E-08,317.44563
7.50E-06,99.59,-0.07199,1.45E-06,7.36E-06,78.824,1111,7.68E-08,317.437006
7.71E-06,99.58,-0.070214,1.56E-06,7.55E-06,78.297,1111,8.11E-08,317.423029
7.38E-06,99.57,-0.075395,1.17E-06,7.29E-06,80.856,1111,8.35E-08,317.406376
7.51E-06,99.57,-0.063001,1.46E-06,7.36E-06,78.777,1111,8.22E-08,317.399239
7.51E-06,99.56,-0.065965,1.50E-06,7.36E-06,78.505,1111,7.74E-08,317.386749
7.50E-06,99.55,-0.062938,1.31E-06,7.38E-06,79.908,1111,7.06E-08,317.376341
7.44E-06,99.54,-0.060711,1.53E-06,7.28E-06,78.123,1111,7.00E-08,317.364446
7.39E-06,99.53,-0.057862,1.57E-06,7.22E-06,77.718,1111,7.91E-08,317.356416
7.60E-06,99.52,-0.057684,1.45E-06,7.46E-06,78.982,1111,7.77E-08,317.344521
7.41E-06,99.52,-0.056402,1.44E-06,7.27E-06,78.788,1111,7.74E-08,317.332329
7.50E-06,99.51,-0.054603,1.47E-06,7.36E-06,78.695,1111,7.51E-08,317.324002
7.53E-06,99.5,-0.053873,1.56E-06,7.37E-06,78.01,1111,7.51E-08,317.312999
7.45E-06,99.49,-0.050891,1.37E-06,7.32E-06,79.438,1111,8.01E-08,317.304375
7.40E-06,99.48,-0.05639,1.51E-06,7.25E-06,78.212,1111,8.09E-08,317.292183
7.48E-06,99.47,-0.055463,1.54E-06,7.32E-06,78.154,1111,8.29E-08,317.282072
7.53E-06,99.47,-0.048784,1.45E-06,7.39E-06,78.913,1111,8.42E-08,317.272853
7.35E-06,99.45,-0.048571,1.34E-06,7.23E-06,79.469,1111,8.45E-08,317.260958
7.46E-06,99.45,-0.048293,1.40E-06,7.32E-06,79.177,1111,8.50E-08,317.241629
7.38E-06,99.44,-0.039814,1.32E-06,7.26E-06,79.655,1111,8.65E-08,317.229733
7.37E-06,99.44,-0.040702,1.44E-06,7.23E-06,78.755,1111,8.72E-08,317.217541
7.47E-06,99.43,-0.046366,1.44E-06,7.33E-06,78.904,1111,8.73E-08,317.208025
7.36E-06,99.42,-0.049887,1.53E-06,7.20E-06,78.012,1111,8.35E-08,317.197022
7.64E-06,99.41,-0.05321,1.52E-06,7.49E-06,78.516,1111,8.08E-08,317.183045
7.45E-06,99.4,-0.055183,1.39E-06,7.32E-06,79.279,1111,7.90E-08,317.172934
7.44E-06,99.39,-0.064415,1.36E-06,7.31E-06,79.47,1111,8.06E-08,317.1655
7.45E-06,99.38,-0.064584,1.49E-06,7.30E-06,78.476,1111,8.04E-08,317.149441
7.40E-06,99.37,-0.064296,1.42E-06,7.26E-06,78.903,1111,8.03E-08,317.141412
7.57E-06,99.37,-0.06524,1.34E-06,7.45E-06,79.82,1111,7.40E-08,317.129815
7.55E-06,99.36,-0.071887,1.45E-06,7.41E-06,78.911,1111,7.47E-08,317.115838
7.57E-06,99.35,-0.069789,1.47E-06,7.42E-06,78.791,1111,7.49E-08,317.106916
7.46E-06,99.34,-0.069945,1.44E-06,7.32E-06,78.873,1111,7.47E-08,317.094129
7.45E-06,99.33,-0.074257,1.69E-06,7.25E-06,76.859,1111,7.79E-08,317.068257
7.40E-06,99.33,-0.071219,1.53E-06,7.25E-06,78.077,1111,8.16E-08,317.059336
7.40E-06,99.32,-0.062726,1.53E-06,7.24E-06,78.065,1111,8.07E-08,317.046251
7.41E-06,99.31,-0.060895,1.39E-06,7.28E-06,79.197,1111,8.04E-08,317.035248
7.56E-06,99.3,-0.059622,1.52E-06,7.40E-06,78.432,1111,7.90E-08,317.02484
7.46E-06,99.29,-0.0598,1.39E-06,7.33E-06,79.275,1111,7.87E-08,317.01235
7.36E-06,99.29,-0.060144,1.43E-06,7.23E-06,78.827,1111,7.84E-08,317.00105
7.41E-06,99.27,-0.063973,1.36E-06,7.29E-06,79.397,1111,7.65E-08,316.987371
7.44E-06,99.27,-0.071868,1.45E-06,7.30E-06,78.798,1111,7.62E-08,316.97607
7.45E-06,99.26,-0.079105,1.27E-06,7.34E-06,80.193,1111,8.03E-08,316.964175
7.42E-06,99.25,-0.070796,1.57E-06,7.25E-06,77.815,1111,8.44E-08,316.954362
7.51E-06,99.24,-0.064235,1.31E-06,7.39E-06,79.916,1111,8.32E-08,316.939195
7.51E-06,99.23,-0.064247,1.35E-06,7.38E-06,79.631,1111,8.36E-08,316.924327
7.59E-06,99.23,-0.067591,1.43E-06,7.45E-06,79.116,1111,8.46E-08,316.915108
7.22E-06,99.22,-0.068824,1.47E-06,7.07E-06,78.257,1111,8.37E-08,316.900536
7.48E-06,99.21,-0.067992,1.56E-06,7.32E-06,77.999,1111,8.56E-08,316.875259
7.35E-06,99.2,-0.073131,1.34E-06,7.23E-06,79.534,1111,8.34E-08,316.863364
7.50E-06,99.19,-0.07154,1.36E-06,7.38E-06,79.576,1111,8.93E-08,316.85028
7.43E-06,99.19,-0.072899,1.35E-06,7.31E-06,79.521,1111,8.94E-08,316.840169
7.40E-06,99.18,-0.069461,1.49E-06,7.25E-06,78.377,1111,9.05E-08,316.825895
7.31E-06,99.17,-0.072727,1.49E-06,7.16E-06,78.274,1111,8.65E-08,316.812513
7.50E-06,99.16,-0.077929,1.40E-06,7.37E-06,79.267,1111,7.81E-08,316.799725
7.53E-06,99.15,-0.086752,1.21E-06,7.43E-06,80.784,1111,8.04E-08,316.787235
7.37E-06,99.14,-0.084206,1.48E-06,7.22E-06,78.384,1111,8.30E-08,316.773556
7.35E-06,99.14,-0.08519,1.59E-06,7.17E-06,77.523,1111,8.72E-08,316.756903
7.41E-06,99.14,-0.083431,1.30E-06,7.30E-06,79.911,1111,9.01E-08,316.7459
