2022/4/7,14:43:40,采样间隔:,0.1 s,,,,,
R(V),温度(K),磁场(KGs),X(V),Y(V),θ(°),Freq(Hz),Noise(V),Rpt1000(Ω)
0.000297,79.87,0.459351,-1.67E-05,-0.000297,-93.216,1111,1.19E-05,172.476238
0.000297,79.87,0.459351,-1.67E-05,-0.000297,-93.22,1111,1.18E-05,172.476238
0.000297,79.87,0.459351,-1.68E-05,-0.000297,-93.234,1111,1.17E-05,172.476238
0.000297,79.9,0.490036,-1.68E-05,-0.000296,-93.242,1111,1.16E-05,172.55686
0.000297,79.9,0.490036,-1.68E-05,-0.000296,-93.237,1111,1.15E-05,172.55686
0.000297,79.9,0.490036,-1.68E-05,-0.000297,-93.238,1111,1.13E-05,172.55686
0.000297,79.94,0.490036,-1.68E-05,-0.000297,-93.24,1111,1.12E-05,172.55686
0.000297,79.94,0.490036,-1.66E-05,-0.000297,-93.213,1111,1.11E-05,172.55686
0.000297,79.94,0.534793,-1.66E-05,-0.000297,-93.202,1111,1.10E-05,172.637928
0.000297,79.94,0.534793,-1.66E-05,-0.000297,-93.195,1111,1.09E-05,172.637928
0.000297,79.97,0.534793,-1.66E-05,-0.000297,-93.201,1111,1.09E-05,172.637928
0.000297,79.97,0.534793,-1.66E-05,-0.000296,-93.211,1111,1.09E-05,172.637928
0.000297,79.97,0.534793,-1.66E-05,-0.000296,-93.21,1111,1.09E-05,172.637928
0.000297,80.01,0.500713,-1.66E-05,-0.000296,-93.2,1111,1.08E-05,172.720893
0.000297,80.01,0.500713,-1.65E-05,-0.000296,-93.194,1111,1.07E-05,172.720893
0.000297,80.01,0.500713,-1.66E-05,-0.000297,-93.203,1111,1.05E-05,172.720893
0.000297,80.06,0.500713,-1.67E-05,-0.000297,-93.214,1111,1.04E-05,172.720893
0.000297,80.06,0.500713,-1.68E-05,-0.000296,-93.237,1111,1.03E-05,172.804157
0.000297,80.06,0.478943,-1.68E-05,-0.000297,-93.246,1111,1.01E-05,172.804157
0.000297,80.08,0.478943,-1.68E-05,-0.000297,-93.238,1111,9.96E-06,172.804157
0.000297,80.08,0.478943,-1.68E-05,-0.000297,-93.237,1111,9.82E-06,172.804157
0.000297,80.08,0.478943,-1.68E-05,-0.000297,-93.235,1111,9.67E-06,172.804157
0.000297,80.13,0.478943,-1.67E-05,-0.000296,-93.233,1111,9.54E-06,172.888127
0.000297,80.13,0.478921,-1.67E-05,-0.000296,-93.221,1111,9.39E-06,172.888127
0.000297,80.13,0.478921,-1.67E-05,-0.000297,-93.214,1111,9.26E-06,172.888127
0.000297,80.14,0.478921,-1.67E-05,-0.000297,-93.214,1111,9.11E-06,172.888127
0.000297,80.14,0.478921,-1.66E-05,-0.000297,-93.204,1111,8.98E-06,172.888127
0.000297,80.14,0.478921,-1.65E-05,-0.000297,-93.189,1111,8.85E-06,172.973697
0.000297,80.19,0.475118,-1.65E-05,-0.000297,-93.179,1111,8.71E-06,172.973697
0.000297,80.19,0.475118,-1.65E-05,-0.000297,-93.187,1111,8.57E-06,172.973697
0.000297,80.19,0.475118,-1.66E-05,-0.000297,-93.198,1111,8.44E-06,172.973697
0.000297,80.21,0.475118,-1.66E-05,-0.000297,-93.203,1111,8.31E-06,173.059564
0.000297,80.21,0.475118,-1.66E-05,-0.000297,-93.206,1111,8.17E-06,173.059564
0.000297,80.21,0.469933,-1.67E-05,-0.000297,-93.216,1111,8.03E-06,173.059564
0.000297,80.21,0.469933,-1.67E-05,-0.000297,-93.22,1111,7.90E-06,173.059564
0.000297,80.26,0.469933,-1.67E-05,-0.000297,-93.227,1111,7.76E-06,173.059564
0.000297,80.26,0.469933,-1.67E-05,-0.000297,-93.23,1111,7.63E-06,173.14692
0.000297,80.26,0.469933,-1.68E-05,-0.000297,-93.243,1111,7.51E-06,173.14692
0.000297,80.28,0.461524,-1.68E-05,-0.000297,-93.249,1111,7.38E-06,173.14692
0.000297,80.28,0.461524,-1.68E-05,-0.000296,-93.236,1111,7.26E-06,173.14692
0.000297,80.28,0.461524,-1.67E-05,-0.000296,-93.221,1111,7.14E-06,173.14692
0.000297,80.32,0.461524,-1.66E-05,-0.000297,-93.209,1111,7.01E-06,173.234908
0.000297,80.32,0.461524,-1.66E-05,-0.000297,-93.206,1111,6.89E-06,173.234908
0.000297,80.32,0.45276,-1.66E-05,-0.000297,-93.207,1111,6.77E-06,173.234908
0.000297,80.37,0.45276,-1.66E-05,-0.000297,-93.205,1111,6.65E-06,173.234908
0.000297,80.37,0.45276,-1.67E-05,-0.000297,-93.215,1111,6.53E-06,173.324124
0.000297,80.37,0.45276,-1.66E-05,-0.000297,-93.212,1111,6.40E-06,173.324124
0.000297,80.39,0.45276,-1.66E-05,-0.000297,-93.203,1111,6.28E-06,173.324124
0.000297,80.39,0.44856,-1.66E-05,-0.000297,-93.202,1111,6.16E-06,173.324124
0.000297,80.39,0.44856,-1.66E-05,-0.000297,-93.206,1111,6.03E-06,173.324124
0.000297,80.44,0.44856,-1.67E-05,-0.000296,-93.22,1111,5.90E-06,173.414977
0.000297,80.44,0.44856,-1.67E-05,-0.000296,-93.224,1111,5.78E-06,173.414977
0.000297,80.44,0.454473,-1.67E-05,-0.000296,-93.232,1111,5.66E-06,173.414977
0.000297,80.46,0.454473,-1.68E-05,-0.000296,-93.245,1111,5.54E-06,173.414977
0.000297,80.46,0.454473,-1.69E-05,-0.000296,-93.257,1111,5.42E-06,173.414977
0.000297,80.46,0.454473,-1.69E-05,-0.000296,-93.261,1111,5.31E-06,173.506239
0.000297,80.5,0.454473,-1.68E-05,-0.000296,-93.247,1111,5.18E-06,173.506239
0.000297,80.5,0.454473,-1.67E-05,-0.000297,-93.231,1111,5.08E-06,173.506239
0.000297,80.5,0.424674,-1.66E-05,-0.000297,-93.201,1111,4.96E-06,173.506239
0.000297,80.52,0.424674,-1.65E-05,-0.000297,-93.179,1111,4.84E-06,173.598803
0.000297,80.52,0.424674,-1.65E-05,-0.000297,-93.19,1111,4.73E-06,173.598803
0.000297,80.52,0.424674,-1.66E-05,-0.000297,-93.204,1111,4.61E-06,173.598803
0.000297,80.52,0.424674,-1.67E-05,-0.000297,-93.215,1111,4.49E-06,173.598803
0.000297,80.57,0.428072,-1.66E-05,-0.000297,-93.21,1111,4.37E-06,173.598803
0.000297,80.57,0.428072,-1.66E-05,-0.000297,-93.211,1111,4.25E-06,173.692112
0.000297,80.57,0.428072,-1.66E-05,-0.000297,-93.21,1111,4.14E-06,173.692112
0.000297,80.61,0.428072,-1.67E-05,-0.000297,-93.217,1111,4.03E-06,173.692112
0.000297,80.61,0.226073,-1.68E-05,-0.000297,-93.239,1111,3.92E-06,173.692112
0.000297,80.61,0.226073,-1.69E-05,-0.000297,-93.255,1111,3.80E-06,173.692112
0.000297,80.63,0.226073,-1.69E-05,-0.000297,-93.261,1111,3.69E-06,173.78661
0.000297,80.63,0.226073,-1.68E-05,-0.000297,-93.244,1111,3.58E-06,173.78661
0.000297,80.63,0.226073,-1.67E-05,-0.000297,-93.224,1111,3.48E-06,173.78661
0.000297,80.68,0.248248,-1.66E-05,-0.000297,-93.208,1111,3.37E-06,173.78661
0.000297,80.68,0.248248,-1.66E-05,-0.000297,-93.209,1111,3.27E-06,173.882114
0.000297,80.68,0.248248,-1.66E-05,-0.000297,-93.199,1111,3.18E-06,173.882114
0.000297,80.7,0.248248,-1.66E-05,-0.000297,-93.2,1111,3.07E-06,173.882114
0.000297,80.7,0.248248,-1.66E-05,-0.000297,-93.202,1111,2.97E-06,173.882114
0.000297,80.7,0.425754,-1.66E-05,-0.000297,-93.199,1111,2.87E-06,173.882114
0.000297,80.75,0.425754,-1.66E-05,-0.000297,-93.203,1111,2.77E-06,173.978064
0.000297,80.75,0.425754,-1.67E-05,-0.000297,-93.212,1111,2.67E-06,173.978064
0.000297,80.75,0.425754,-1.67E-05,-0.000297,-93.221,1111,2.57E-06,173.978064
0.000297,80.76,0.425754,-1.67E-05,-0.000297,-93.227,1111,2.47E-06,173.978064
0.000297,80.76,0.591265,-1.68E-05,-0.000297,-93.238,1111,2.37E-06,173.978064
0.000297,80.76,0.591265,-1.69E-05,-0.000297,-93.254,1111,2.27E-06,174.075093
0.000297,80.81,0.591265,-1.69E-05,-0.000297,-93.251,1111,2.17E-06,174.075093
0.000297,80.81,0.591265,-1.67E-05,-0.000297,-93.226,1111,2.07E-06,174.075093
0.000297,80.81,0.591265,-1.68E-05,-0.000297,-93.232,1111,1.97E-06,174.075093
0.000297,80.81,0.538077,-1.68E-05,-0.000297,-93.236,1111,1.88E-06,174.173572
0.000297,80.83,0.538077,-1.68E-05,-0.000297,-93.237,1111,1.79E-06,174.173572
0.000297,80.83,0.538077,-1.68E-05,-0.000297,-93.243,1111,1.70E-06,174.173572
0.000297,80.83,0.538077,-1.68E-05,-0.000297,-93.248,1111,1.61E-06,174.173572
0.000297,80.87,0.538077,-1.68E-05,-0.000297,-93.239,1111,1.52E-06,174.173572
0.000297,80.87,0.486959,-1.68E-05,-0.000297,-93.232,1111,1.43E-06,174.271903
0.000297,80.87,0.486959,-1.68E-05,-0.000297,-93.239,1111,1.34E-06,174.271903
0.000297,80.92,0.486959,-1.68E-05,-0.000297,-93.235,1111,1.25E-06,174.271903
0.000297,80.92,0.486959,-1.68E-05,-0.000297,-93.229,1111,1.16E-06,174.271903
0.000298,80.92,0.486959,-1.67E-05,-0.000297,-93.217,1111,1.06E-06,174.271903
0.000298,80.94,0.544749,-1.66E-05,-0.000297,-93.204,1111,9.67E-07,174.370643
0.000297,80.94,0.544749,-1.66E-05,-0.000297,-93.191,1111,8.66E-07,174.370643
0.000297,80.94,0.544749,-1.66E-05,-0.000297,-93.196,1111,7.73E-07,174.370643
0.000298,80.98,0.544749,-1.66E-05,-0.000297,-93.201,1111,6.80E-07,174.370643
0.000297,80.98,0.544749,-1.66E-05,-0.000297,-93.206,1111,5.91E-07,174.471653
0.000298,80.98,0.466793,-1.66E-05,-0.000297,-93.205,1111,5.00E-07,174.471653
0.000298,81,0.466793,-1.67E-05,-0.000297,-93.208,1111,4.22E-07,174.471653
0.000298,81,0.466793,-1.67E-05,-0.000297,-93.21,1111,3.46E-07,174.471653
0.000297,81,0.466793,-1.66E-05,-0.000297,-93.192,1111,2.73E-07,174.471653
0.000297,81.04,0.466793,-1.65E-05,-0.000297,-93.189,1111,2.05E-07,174.573146
0.000297,81.04,0.43265,-1.66E-05,-0.000297,-93.192,1111,1.53E-07,174.573146
0.000297,81.04,0.43265,-1.66E-05,-0.000297,-93.2,1111,1.19E-07,174.573146
0.000298,81.06,0.43265,-1.67E-05,-0.000297,-93.21,1111,1.04E-07,174.573146
0.000298,81.06,0.43265,-1.67E-05,-0.000297,-93.21,1111,9.82E-08,174.573146
0.000298,81.06,0.43265,-1.67E-05,-0.000297,-93.212,1111,9.67E-08,174.675682
0.000298,81.11,0.395885,-1.67E-05,-0.000297,-93.212,1111,9.62E-08,174.675682
