2022/4/7,15:45:16,采样间隔:,0.1 s,,,,,
R(V),温度(K),磁场(KGs),X(V),Y(V),θ(°),Freq(Hz),Noise(V),Rpt1000(Ω)
7.48E-06,97,1.150233,3.16E-06,6.78E-06,65.05,1111,1.14E-07,303.978287
7.26E-06,97,1.150233,3.22E-06,6.51E-06,63.678,1111,1.11E-07,303.978287
7.18E-06,96.97,1.150233,3.25E-06,6.40E-06,63.101,1111,1.09E-07,304.004159
7.19E-06,96.97,1.148838,3.22E-06,6.43E-06,63.387,1111,1.07E-07,304.004159
7.25E-06,96.97,1.148838,3.22E-06,6.50E-06,63.607,1111,1.05E-07,304.004159
7.22E-06,96.92,1.148838,3.17E-06,6.49E-06,64.005,1111,1.03E-07,304.004159
7.25E-06,96.92,1.148838,3.08E-06,6.56E-06,64.889,1111,1.02E-07,304.004159
7.33E-06,96.92,1.148838,3.06E-06,6.66E-06,65.307,1111,1.02E-07,304.034194
7.27E-06,96.89,1.154894,3.08E-06,6.58E-06,64.958,1111,1.02E-07,304.034194
7.20E-06,96.89,1.154894,3.06E-06,6.52E-06,64.834,1111,1.03E-07,304.034194
7.30E-06,96.89,1.154894,3.07E-06,6.62E-06,65.107,1111,1.04E-07,304.034194
7.41E-06,96.83,1.154894,3.13E-06,6.72E-06,65.009,1111,1.05E-07,304.055308
7.43E-06,96.83,1.154894,3.22E-06,6.70E-06,64.354,1111,1.05E-07,304.055308
7.39E-06,96.83,1.156351,3.24E-06,6.64E-06,64.021,1111,1.05E-07,304.055308
7.39E-06,96.78,1.156351,3.24E-06,6.64E-06,63.983,1111,1.04E-07,304.055308
7.41E-06,96.78,1.156351,3.22E-06,6.67E-06,64.229,1111,1.04E-07,304.055308
7.42E-06,96.78,1.156351,3.14E-06,6.72E-06,64.934,1111,1.03E-07,304.082666
7.41E-06,96.75,1.151012,3.09E-06,6.73E-06,65.353,1111,1.03E-07,304.082666
7.37E-06,96.75,1.151012,3.07E-06,6.70E-06,65.387,1111,1.03E-07,304.082666
7.33E-06,96.75,1.151012,3.05E-06,6.67E-06,65.461,1111,1.04E-07,304.082666
7.33E-06,96.7,1.151012,3.00E-06,6.69E-06,65.837,1111,1.05E-07,304.11062
7.41E-06,96.7,1.151012,3.06E-06,6.74E-06,65.575,1111,1.05E-07,304.11062
7.46E-06,96.7,1.150309,3.11E-06,6.78E-06,65.394,1111,1.05E-07,304.11062
7.42E-06,96.67,1.150309,3.12E-06,6.73E-06,65.112,1111,1.06E-07,304.11062
7.39E-06,96.67,1.150309,3.14E-06,6.69E-06,64.847,1111,1.06E-07,304.11062
7.45E-06,96.67,1.150309,3.16E-06,6.75E-06,64.953,1111,1.07E-07,304.132626
7.47E-06,96.61,1.150309,3.17E-06,6.77E-06,64.902,1111,1.07E-07,304.132626
7.34E-06,96.61,1.149018,3.14E-06,6.63E-06,64.67,1111,1.07E-07,304.132626
7.30E-06,96.61,1.149018,3.15E-06,6.58E-06,64.424,1111,1.07E-07,304.132626
7.17E-06,96.58,1.149018,3.11E-06,6.46E-06,64.272,1111,1.08E-07,304.161174
7.15E-06,96.58,1.149018,3.07E-06,6.46E-06,64.531,1111,1.08E-07,304.161174
7.23E-06,96.52,1.141878,3.06E-06,6.55E-06,64.922,1111,1.09E-07,304.161174
7.32E-06,96.52,1.141878,3.07E-06,6.65E-06,65.257,1111,1.09E-07,304.161174
7.51E-06,96.52,1.141878,3.05E-06,6.86E-06,66.032,1111,1.09E-07,304.18437
7.59E-06,96.49,1.141878,3.01E-06,6.97E-06,66.607,1111,1.09E-07,304.18437
7.64E-06,96.49,1.141878,3.02E-06,7.01E-06,66.687,1111,1.10E-07,304.18437
7.59E-06,96.49,1.137533,2.91E-06,7.01E-06,67.424,1111,1.12E-07,304.18437
7.52E-06,96.49,1.137533,2.93E-06,6.93E-06,67.107,1111,1.15E-07,304.18437
7.48E-06,96.44,1.137533,3.03E-06,6.84E-06,66.097,1111,1.17E-07,304.208457
7.53E-06,96.44,1.137533,3.09E-06,6.87E-06,65.795,1111,1.17E-07,304.208457
7.52E-06,96.44,1.137533,3.10E-06,6.85E-06,65.674,1111,1.17E-07,304.208457
7.55E-06,96.39,1.139731,3.22E-06,6.83E-06,64.799,1111,1.17E-07,304.208457
7.73E-06,96.39,1.139731,3.28E-06,7.00E-06,64.887,1111,1.17E-07,304.208457
7.92E-06,96.39,1.139731,3.28E-06,7.21E-06,65.571,1111,1.18E-07,304.232545
8.07E-06,96.37,1.139731,3.26E-06,7.38E-06,66.148,1111,1.18E-07,304.232545
8.12E-06,96.37,1.139731,3.23E-06,7.45E-06,66.552,1111,1.18E-07,304.232545
8.18E-06,96.37,1.131934,3.20E-06,7.53E-06,66.996,1111,1.18E-07,304.232545
8.20E-06,96.31,1.131934,3.23E-06,7.54E-06,66.83,1111,1.18E-07,304.257227
8.25E-06,96.31,1.131934,3.31E-06,7.55E-06,66.307,1111,1.18E-07,304.257227
8.31E-06,96.31,1.131934,3.37E-06,7.59E-06,66.099,1111,1.19E-07,304.257227
8.31E-06,96.29,1.131934,3.31E-06,7.62E-06,66.534,1111,1.19E-07,304.257227
8.28E-06,96.29,1.134142,3.21E-06,7.63E-06,67.163,1111,1.19E-07,304.257227
8.28E-06,96.29,1.134142,3.17E-06,7.65E-06,67.465,1111,1.19E-07,304.27953
8.30E-06,96.23,1.134142,3.15E-06,7.68E-06,67.708,1111,1.19E-07,304.27953
8.22E-06,96.23,1.134142,3.13E-06,7.60E-06,67.622,1111,1.19E-07,304.27953
8.11E-06,96.23,1.134142,3.11E-06,7.49E-06,67.463,1111,1.19E-07,304.27953
8.09E-06,96.21,1.125105,3.13E-06,7.46E-06,67.262,1111,1.20E-07,304.306294
8.08E-06,96.21,1.125105,3.10E-06,7.46E-06,67.433,1111,1.20E-07,304.306294
8.03E-06,96.21,1.125105,3.11E-06,7.40E-06,67.245,1111,1.20E-07,304.306294
7.88E-06,96.15,1.125105,3.12E-06,7.23E-06,66.646,1111,1.20E-07,304.306294
7.95E-06,96.15,1.124764,3.17E-06,7.29E-06,66.496,1111,1.20E-07,304.306294
8.09E-06,96.15,1.124764,3.22E-06,7.42E-06,66.515,1111,1.20E-07,304.327706
8.24E-06,96.1,1.124764,3.27E-06,7.57E-06,66.628,1111,1.19E-07,304.327706
8.35E-06,96.1,1.124764,3.27E-06,7.68E-06,66.959,1111,1.19E-07,304.327706
8.41E-06,96.1,1.124764,3.25E-06,7.76E-06,67.28,1111,1.20E-07,304.327706
8.44E-06,96.08,1.131405,3.25E-06,7.79E-06,67.334,1111,1.20E-07,304.349117
8.44E-06,96.08,1.131405,3.27E-06,7.78E-06,67.188,1111,1.20E-07,304.349117
8.46E-06,96.08,1.131405,3.26E-06,7.81E-06,67.353,1111,1.21E-07,304.349117
8.48E-06,96.02,1.131405,3.24E-06,7.83E-06,67.556,1111,1.21E-07,304.349117
8.48E-06,96.02,1.131405,3.27E-06,7.82E-06,67.333,1111,1.21E-07,304.349117
8.46E-06,96.02,1.130553,3.27E-06,7.81E-06,67.285,1111,1.21E-07,304.372312
8.46E-06,96,1.130553,3.24E-06,7.81E-06,67.461,1111,1.20E-07,304.372312
8.52E-06,96,1.130553,3.20E-06,7.89E-06,67.963,1111,1.19E-07,304.372312
8.56E-06,96,1.130553,3.19E-06,7.94E-06,68.132,1111,1.16E-07,304.372312
8.53E-06,95.95,1.130553,3.26E-06,7.88E-06,67.526,1111,1.13E-07,304.372312
8.49E-06,95.95,1.131539,3.31E-06,7.82E-06,67.062,1111,1.11E-07,304.394913
8.41E-06,95.95,1.131539,3.30E-06,7.74E-06,66.939,1111,1.10E-07,304.394913
8.32E-06,95.92,1.131539,3.22E-06,7.68E-06,67.255,1111,1.10E-07,304.394913
8.27E-06,95.92,1.131539,3.16E-06,7.64E-06,67.56,1111,1.09E-07,304.394913
8.23E-06,95.92,1.131539,3.14E-06,7.61E-06,67.587,1111,1.09E-07,304.418406
8.21E-06,95.92,1.123238,3.16E-06,7.58E-06,67.393,1111,1.08E-07,304.418406
8.24E-06,95.87,1.123238,3.21E-06,7.59E-06,67.082,1111,1.06E-07,304.418406
8.26E-06,95.87,1.123238,3.25E-06,7.60E-06,66.826,1111,1.04E-07,304.418406
8.31E-06,95.87,1.123238,3.26E-06,7.64E-06,66.878,1111,1.04E-07,304.418406
8.25E-06,95.85,1.123238,3.18E-06,7.61E-06,67.297,1111,1.04E-07,304.43952
8.15E-06,95.85,1.120132,3.12E-06,7.54E-06,67.516,1111,1.04E-07,304.43952
8.06E-06,95.85,1.120132,3.08E-06,7.45E-06,67.564,1111,1.04E-07,304.43952
8.05E-06,95.8,1.120132,3.09E-06,7.43E-06,67.451,1111,1.04E-07,304.43952
8.12E-06,95.8,1.120132,3.10E-06,7.51E-06,67.552,1111,1.04E-07,304.43952
8.16E-06,95.8,1.120132,3.08E-06,7.56E-06,67.803,1111,1.04E-07,304.459444
8.16E-06,95.75,1.115955,3.10E-06,7.55E-06,67.693,1111,1.04E-07,304.459444
8.19E-06,95.75,1.115955,3.15E-06,7.56E-06,67.394,1111,1.04E-07,304.459444
8.19E-06,95.75,1.115955,3.18E-06,7.54E-06,67.155,1111,1.03E-07,304.459444
8.20E-06,95.72,1.115955,3.23E-06,7.54E-06,66.805,1111,1.03E-07,304.481152
8.20E-06,95.72,1.115955,3.24E-06,7.53E-06,66.755,1111,1.02E-07,304.481152
8.21E-06,95.72,1.128641,3.24E-06,7.54E-06,66.783,1111,1.01E-07,304.481152
8.20E-06,95.67,1.128641,3.22E-06,7.53E-06,66.827,1111,1.01E-07,304.481152
8.19E-06,95.67,1.128641,3.20E-06,7.54E-06,67.022,1111,1.01E-07,304.481152
8.13E-06,95.67,1.128641,3.15E-06,7.50E-06,67.199,1111,1.01E-07,304.498995
8.09E-06,95.65,1.128641,3.15E-06,7.45E-06,67.062,1111,1.01E-07,304.498995
8.14E-06,95.65,1.130227,3.19E-06,7.48E-06,66.914,1111,1.01E-07,304.498995
8.18E-06,95.65,1.130227,3.17E-06,7.54E-06,67.167,1111,1.01E-07,304.498995
8.15E-06,95.6,1.130227,3.18E-06,7.51E-06,67.035,1111,1.00E-07,304.523677
8.15E-06,95.6,1.130227,3.18E-06,7.50E-06,67.012,1111,9.97E-08,304.523677
8.20E-06,95.6,1.130227,3.20E-06,7.55E-06,67.041,1111,9.81E-08,304.523677
8.19E-06,95.58,1.136391,3.21E-06,7.54E-06,66.911,1111,9.68E-08,304.523677
8.13E-06,95.58,1.136391,3.21E-06,7.47E-06,66.741,1111,9.55E-08,304.523677
8.05E-06,95.58,1.136391,3.15E-06,7.41E-06,67.003,1111,9.40E-08,304.540331
8.05E-06,95.53,1.136391,3.11E-06,7.42E-06,67.261,1111,9.31E-08,304.540331
8.08E-06,95.53,1.136391,3.15E-06,7.44E-06,67.029,1111,9.29E-08,304.540331
8.09E-06,95.53,1.142166,3.15E-06,7.45E-06,67.104,1111,9.29E-08,304.540331
8.12E-06,95.48,1.142166,3.16E-06,7.48E-06,67.13,1111,9.29E-08,304.560552
8.17E-06,95.48,1.142166,3.18E-06,7.52E-06,67.08,1111,9.29E-08,304.560552
8.20E-06,95.48,1.142166,3.20E-06,7.56E-06,67.064,1111,9.29E-08,304.560552
8.20E-06,95.46,1.142166,3.19E-06,7.55E-06,67.097,1111,9.25E-08,304.560552
8.20E-06,95.46,1.141746,3.19E-06,7.56E-06,67.114,1111,9.13E-08,304.560552
8.16E-06,95.46,1.141746,3.18E-06,7.52E-06,67.08,1111,8.98E-08,304.576908
8.15E-06,95.41,1.141746,3.16E-06,7.51E-06,67.196,1111,8.78E-08,304.576908
8.15E-06,95.41,1.141746,3.18E-06,7.51E-06,67.041,1111,8.50E-08,304.576908
8.13E-06,95.41,1.141746,3.22E-06,7.46E-06,66.645,1111,8.35E-08,304.576908
8.16E-06,95.39,1.138884,3.25E-06,7.48E-06,66.503,1111,8.29E-08,304.576908
8.20E-06,95.39,1.138884,3.27E-06,7.52E-06,66.522,1111,8.27E-08,304.598022
8.22E-06,95.39,1.138884,3.28E-06,7.54E-06,66.515,1111,8.28E-08,304.598022
8.15E-06,95.39,1.138884,3.28E-06,7.46E-06,66.299,1111,8.32E-08,304.598022
8.08E-06,95.35,1.138884,3.28E-06,7.39E-06,66.047,1111,8.34E-08,304.598022
8.04E-06,95.35,1.133876,3.32E-06,7.33E-06,65.632,1111,8.38E-08,304.617351
8.03E-06,95.35,1.133876,3.34E-06,7.30E-06,65.432,1111,8.47E-08,304.617351
8.07E-06,95.32,1.133876,3.30E-06,7.36E-06,65.821,1111,8.53E-08,304.617351
8.10E-06,95.32,1.133876,3.22E-06,7.43E-06,66.551,1111,8.46E-08,304.617351
8.13E-06,95.32,1.133876,3.19E-06,7.48E-06,66.892,1111,8.34E-08,304.617351
8.14E-06,95.28,1.138836,3.20E-06,7.49E-06,66.849,1111,8.23E-08,304.632815
8.13E-06,95.28,1.138836,3.23E-06,7.46E-06,66.554,1111,8.12E-08,304.632815
8.07E-06,95.28,1.138836,3.20E-06,7.41E-06,66.66,1111,7.99E-08,304.632815
8.02E-06,95.25,1.138836,3.14E-06,7.38E-06,66.96,1111,7.80E-08,304.632815
8.00E-06,95.25,1.139318,3.15E-06,7.36E-06,66.82,1111,7.62E-08,304.632815
7.98E-06,95.25,1.139318,3.17E-06,7.33E-06,66.593,1111,7.17E-08,304.648873
7.98E-06,95.21,1.139318,3.22E-06,7.30E-06,66.167,1111,6.74E-08,304.648873
7.99E-06,95.21,1.139318,3.26E-06,7.30E-06,65.921,1111,6.59E-08,304.648873
8.04E-06,95.21,1.139318,3.27E-06,7.35E-06,66.03,1111,6.57E-08,304.648873
8.15E-06,95.16,1.139318,3.26E-06,7.47E-06,66.426,1111,6.55E-08,304.648873
8.26E-06,95.16,1.144162,3.23E-06,7.60E-06,66.963,1111,6.55E-08,304.665824
8.29E-06,95.16,1.144162,3.24E-06,7.63E-06,66.991,1111,6.48E-08,304.665824
8.26E-06,95.14,1.144162,3.23E-06,7.60E-06,66.958,1111,6.42E-08,304.665824
8.17E-06,95.14,1.144162,3.20E-06,7.52E-06,66.923,1111,6.38E-08,304.665824
8.03E-06,95.14,1.144162,3.14E-06,7.39E-06,66.937,1111,6.37E-08,304.683072
7.94E-06,95.1,1.142047,3.12E-06,7.30E-06,66.824,1111,6.41E-08,304.683072
7.95E-06,95.1,1.142047,3.15E-06,7.30E-06,66.656,1111,6.41E-08,304.683072
8.02E-06,95.1,1.142047,3.15E-06,7.37E-06,66.885,1111,6.29E-08,304.683072
8.07E-06,95.08,1.142047,3.17E-06,7.42E-06,66.858,1111,6.05E-08,304.683072
8.07E-06,95.08,1.145075,3.20E-06,7.41E-06,66.642,1111,5.93E-08,304.70032
8.04E-06,95.08,1.145075,3.22E-06,7.37E-06,66.387,1111,5.91E-08,304.70032
